developer,avg_metascore,avg_user_score,num_games
Mebius,70.0,7.099999904632568,3
Auran,70.0,5.933333396911621,3
Nine Dots Studio,70.0,6.400000095367432,3
Gaijin Entertainment,69.83333333333333,5.816666642824809,6
GRIN,69.75,6.1250001192092896,4
SCEE,69.75,6.5,4
Nexon,69.75,5.5,4
Pendulo Studios,69.66666666666667,6.733333309491475,6
Cyberlore Studios,69.66666666666667,5.766666730244954,3
Slant Six,69.66666666666667,7.03333314259847,3
Page 44 Studios,69.66666666666667,7.566666762034099,3
Novarama,69.66666666666667,7.333333333333333,3
SuperVillain Studios,69.66666666666667,7.133333206176758,3
Sumo Digital,69.61111111111111,6.622222238116795,18
WayForward,69.59375,7.056250050663948,32
nDreams,69.5,6.899999976158142,4
Auroch Digital,69.5,5.774999976158142,4
Silicon Knights,69.5,6.949999928474426,4
Visceral Games,69.5,6.249999910593033,8
Tri-Ace,69.5,7.087500035762787,8
VooFoo Studios,69.5,5.674999952316284,4
Pterodon,69.33333333333333,7.366666793823242,3
Warhorse Studios,69.33333333333333,7.200000127156575,3
Krillbite Studio,69.33333333333333,6.066666762034099,3
Planet Moon Studios,69.33333333333333,6.633333285649617,6
Cinemax,69.25,6.799999952316284,4
Ghost Games,69.25,5.899999976158142,4
Hudson,69.2,6.953333330154419,15
Ganbarion,69.2,7.660000038146973,5
Sting,69.11111111111111,7.522222306993273,9
Traveller's Tales,69.10526315789474,7.1526315839667065,19
Fishing Cactus,69.0,7.1333333651224775,3
Team17,69.0,6.649999994498033,26
Ironward,69.0,6.366666793823242,3
Brownie Brown,69.0,8.133333206176758,3
Fireglow,69.0,7.633333206176758,3
Tale of Tales,69.0,4.666666666666667,3
Z-Axis,69.0,6.579999923706055,5
Seaven Studio,69.0,6.825000047683716,4
Luxoflux,68.83333333333333,6.733333349227905,6
NovaLogic,68.83333333333333,6.316666603088379,6
Alfa System,68.8,7.660000038146973,5
Frogwares,68.77777777777777,7.088888857099745,9
Project Soul,68.75,5.899999976158142,4
1C:Ino-Co,68.66666666666667,7.833333333333333,3
Playful Corp.,68.66666666666667,6.766666730244954,3
Access Games,68.66666666666667,7.433333317438762,6
LEAP Game Studios,68.66666666666667,6.766666571299235,3
Armature Studio,68.66666666666667,7.5,3
Purple Lamp Studios,68.66666666666667,6.833333253860474,3
Jutsu Games,68.66666666666667,6.733333269755046,3
Other Ocean Interactive,68.5,6.825000047683716,4
Red Dot Games,68.5,7.2500001192092896,4
Tilted Mill,68.5,6.100000023841858,4
Take-Two Interactive,68.5,6.375,4
Konami,68.49333333333334,6.843999993006388,75
Taito Corporation,68.47368421052632,7.273684225584331,19
Bandai Namco Games,68.46511627906976,6.67441864346349,43
Artifex Mundi,68.33333333333333,7.200000127156575,3
Wish Studios,68.33333333333333,6.799999872843425,3
Wideload Games Inc.,68.33333333333333,7.399999936421712,3
Pixelated Milk,68.33333333333333,6.800000031789144,3
Disney Interactive Studios,68.33333333333333,7.0,3
THQ Nordic,68.33333333333333,5.433333396911621,3
COWCAT,68.33333333333333,7.333333333333333,3
Animation Arts,68.33333333333333,6.4666666984558105,3
SCEE London Studio,68.3076923076923,6.276923106266902,13
Rainbow Studios,68.29411764705883,6.435294151306152,17
SNK Playmore,68.28571428571429,7.564285755157471,14
Artdink,68.28571428571429,6.700000081743513,7
Cattle Call,68.25,7.650000095367432,4
Positech Games,68.2,6.340000057220459,5
Infinite Interactive,68.2,7.3599998474121096,5
Rage Software,68.2,5.860000038146973,5
Zoe Mode,68.1,5.5399999737739565,10
Weappy Studio,68.0,7.800000190734863,3
Reflexive Entertainment,68.0,7.5333333015441895,3
